 schemaname |             tablename              |    size    | column_count 
 public     | silver_community_assets            | 32 kB      |           21
 public     | silver_community_connections       | 24 kB      |           14
 public     | silver_community_themes            | 32 kB      |           18
 public     | slow_query_analysis                | 40 kB      |           21
 public     | stories                            | 440 kB     |           24
 public     | stories_media_associations         | 128 kB     |            9
 public     | subscription_analytics             | 40 kB      |           13
 public     | subscription_receipts              | 40 kB      |           17
 public     | sync_events                        | 128 kB     |           18
 public     | sync_events_dead_letter            | 32 kB      |           12
 public     | system_health_dashboard            | 24 kB      |           12
 public     | test_cases                         | 112 kB     |           21
 public     | test_data_sets                     | 40 kB      |           16
 public     | test_execution_results             | 40 kB      |           23
 public     | test_suites                        | 80 kB      |           16
 public     | theme_relationships                | 48 kB      |           13
 public     | user_presence                      | 48 kB      |           18
 public     | user_sessions                      | 96 kB      |           19
 public     | webhook_configurations             | 48 kB      |           23
 public     | xero_contacts                      | 88 kB      |           36
 public     | xero_sync_status                   | 48 kB      |           20
 public     | xero_transactions                  | 72 kB      |           23
 public     | zero_downtime_strategies           | 80 kB      |           18
(163 rows)

